scrape_date,scrape_ts_utc,line,brand,tier,ship,ship_code,itinerary_code,itinerary_name,sailing_id,sail_date,return_date,nights,region,embark_port,market,currency,cabin_category,cabin_subcategory,vendor_category_code,rate_code,price_per_person,price_total,price_pppn,price_basis,taxes_fees,availability_status,availability_status_raw,units_remaining,promo_hash,source_url
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21848,2027-04-16,2027-04-19,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,suite,SU,OS,OB7,786.0,1572.0,262.0,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21850,2027-04-23,2027-04-26,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,balcony,OB,8A,OB7,546.0,1092.0,182.0,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21850,2027-04-23,2027-04-26,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,inside,IS,1A,OB7,386.0,772.0,128.6667,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21850,2027-04-23,2027-04-26,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,oceanview,OS,6A,OB7,431.0,862.0,143.6667,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21850,2027-04-23,2027-04-26,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,suite,SU,OS,OB7,766.0,1532.0,255.3333,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Conquest,CQ,BAV,"3-Day The Bahamas from Miami, FL",24388,2027-05-21,2027-05-24,3,Caribbean,"Miami, FL",US,USD,balcony,OB,8A,OB7,532.0,1064.0,177.3333,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=1&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Conquest,CQ,BAV,"3-Day The Bahamas from Miami, FL",24388,2027-05-21,2027-05-24,3,Caribbean,"Miami, FL",US,USD,inside,IS,1A,OB7,352.0,704.0,117.3333,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=1&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Conquest,CQ,BAV,"3-Day The Bahamas from Miami, FL",24388,2027-05-21,2027-05-24,3,Caribbean,"Miami, FL",US,USD,oceanview,OS,6A,OB7,412.0,824.0,137.3333,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=1&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Conquest,CQ,BAV,"3-Day The Bahamas from Miami, FL",24388,2027-05-21,2027-05-24,3,Caribbean,"Miami, FL",US,USD,suite,SU,OS,OB7,762.0,1524.0,254.0,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=1&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Conquest,CQ,BAV,"3-Day The Bahamas from Miami, FL",24390,2027-05-28,2027-05-31,3,Caribbean,"Miami, FL",US,USD,balcony,OB,8A,OB7,652.0,1304.0,217.3333,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=1&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
